Subject,Stimuli,FixStart,FixEnd,FixDur,XPos,YPos,ROI,Block,Trial,ImageType,Species,SubjectName,roi_type,roi_index,saliency,area
Cheyenne_20240702_1420,SStil05.png,478.274,721.694,246.662,411,894,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,2,52.408233642578125,118014
Cheyenne_20240702_1420,SStil05.png,864.912,1058.226,196.745,407,947,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,2,37.41325759887695,118014
Cheyenne_20240702_1420,SStil05.png,1658.246,1858.217,203.302,163,418,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,2,6,78.21461486816406,99395
Cheyenne_20240702_1420,SStil05.png,1904.817,2038.082,136.712,609,862,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,2,72.369140625,118014
Cheyenne_20240702_1420,SStil05.png,2071.392,2381.482,313.419,1395,689,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,266.3280944824219,1530064
Cheyenne_20240702_1420,SStil05.png,2408.146,2621.448,216.629,1115,485,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,4,74.998779296875,126182
Cheyenne_20240702_1420,SStil05.png,2701.428,2944.74,246.543,315,69,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,42.58030319213867,1530064
Cheyenne_20240702_1420,SStil13.png,296.907,440.239,146.671,914,16,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,20.09659194946289,1769406
Cheyenne_20240702_1420,SStil13.png,460.239,626.877,169.96,989,529,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,80.13282012939453,1769406
Cheyenne_20240702_1420,FStil02.png,186.006,412.633,229.829,471,940,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,6,122.5430679321289,99096
Cheyenne_20240702_1420,FStil02.png,429.213,589.175,163.391,884,804,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,120.14413452148438,1802139
Cheyenne_20240702_1420,FStil02.png,619.274,829.17,213.293,1338,80,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,27.66180419921875,1802139
